source_url	parsed_url
http://apple.com	https://www.apple.com/fr/
http://apple.com	https://www.apple.com/it/
http://apple.com	http://apple.com/apple-music/
http://apple.com	https://www.apple.com/jo/
http://apple.com	https://www.apple.com/nz/
http://apple.com	https://www.apple.com/hk/
http://apple.com	https://www.apple.com/la/
http://apple.com	http://apple.com/icloud/
http://apple.com	https://www.apple.com/si/
http://apple.com	https://www.apple.com/in/
http://apple.com	https://www.apple.com/cf/
http://apple.com	https://www.apple.com/bw/
http://apple.com	https://www.apple.com/uk/
http://apple.com	https://www.apple.com/befr/
http://apple.com	https://www.apple.com/ci/
http://apple.com	https://www.apple.com/lae/
http://apple.com	http://apple.com#ac-gn-menustate
http://apple.com	http://apple.com/accessibility/
http://apple.com	http://apple.com/us/shop/goto/ipad_pro/select
http://apple.com	http://apple.com/jobs/us/
http://apple.com	http://apple.com/us/shop/goto/trade_in
http://apple.com	https://www.apple.com/mz/
http://apple.com	https://www.apple.com/pl/
http://apple.com	https://www.apple.com/se/
http://apple.com	https://www.apple.com/mx/
http://apple.com	https://itunes.apple.com/app/apple-store/id375380948?pt&#x3D;2003&amp;ct&#x3D;footer&amp;mt&#x3D;8
http://apple.com	http://apple.com/today/
http://apple.com	https://www.apple.com/mk/
http://apple.com	http://apple.com/us/shop/goto/account
http://apple.com	http://apple.com/ipod-touch/
http://apple.com	http://apple.com/diversity/
http://apple.com	http://apple.com/contact/
http://apple.com	http://apple.com/legal/
http://apple.com	http://apple.com/mac/
http://apple.com	https://www.apple.com/jo-ar/
http://apple.com	https://www.apple.com/ie/
http://apple.com	http://apple.com/privacy/
http://apple.com	https://www.apple.com/ml/
http://apple.com	http://apple.com/us/shop/goto/help/sales_refunds
http://apple.com	https://www.apple.com/lv/
http://apple.com	https://investor.apple.com/
http://apple.com	https://www.apple.com/ca/
http://apple.com	https://www.apple.com/ne/
http://apple.com	https://www.apple.com/gq/
http://apple.com	http://apple.com/us/shop/goto/buy_iphone/iphone_11
http://apple.com	https://www.apple.com/il/
http://apple.com	https://www.apple.com/ng/
http://apple.com	http://apple.com/ https:/tv.apple.com/show/umc.cmc.4qe3i11erof30x0vz8nwnjkw3?itscg=10000&itsct=atv-0-apl_hp-hro_try-apl-cpk-200224
http://apple.com	http://apple.com/iphone-se/
http://apple.com	https://www.apple.com/tr/
http://apple.com	https://www.apple.com/my/
http://apple.com	https://developer.apple.com
http://apple.com	http://apple.com/us/shop/goto/special_deals
http://apple.com	https://www.apple.com/de/
http://apple.com	https://www.apple.com/ru/
http://apple.com	https://www.apple.com/ee/
http://apple.com	http://apple.com/us/shop/goto/buy_iphone/iphone_se
http://apple.com	http://apple.com/airpods/
http://apple.com	http://apple.com#ac-gf-directory-column-section-state-accounts
http://apple.com	http://apple.com#footnote-1
http://apple.com	https://appleid.apple.com/us/
http://apple.com	http://apple.com/legal/internet-services/terms/site.html
http://apple.com	http://apple.com/wss/fonts?families=SF+Pro,v3|SF+Pro+Icons,v3
http://apple.com	https://www.apple.com/gr/
http://apple.com	https://www.apple.com/id/
http://apple.com	https://www.apple.com/za/
http://apple.com	https://www.apple.com/sg/
http://apple.com	https://locate.apple.com/
http://apple.com	https://www.apple.com/mt/
http://apple.com	https://www.apple.com/li/
http://apple.com	http://apple.com/us/shop/goto/bag
http://apple.com	http://apple.com/apple-news/
http://apple.com	https://www.apple.com/cl/
http://apple.com	http://apple.com/v/home/i/built/styles/main.built.css
http://apple.com	http://apple.com#footnote-2
http://apple.com	https://www.apple.com/me/
http://apple.com	https://www.apple.com/hk/en/
http://apple.com	https://www.apple.com/ma/
http://apple.com	http://apple.com#ac-gf-directory-column-section-state-products
http://apple.com	http://apple.com/legal/privacy/
http://apple.com	http://apple.com/education/k12/how-to-buy/
http://apple.com	http://apple.com#ac-gf-directory-column-section-state-healthcare
http://apple.com	http://apple.com/business/
http://apple.com	http://apple.com/education/connectED/
http://microsoft.com	http://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/78-6f121b/1e-fd610f?ver=2.0
http://microsoft.com	https://www.microsoft.com/ru-ru/store/b/student?icid=CNavfooter_Studentsandeducation
http://microsoft.com	https://www.microsoft.com/enterprise/health
http://microsoft.com	https://www.microsoft.com/mwf/js/MWF_20200416_22921869/alert/autosuggest/contentplacement/contentplacementitem/glyph/heading/hero/heroitem/hyperlinkgroup/image/list/pagebehaviors/skiptomain/social?apiVersion=1.0
http://microsoft.com	https://docs.microsoft.com/ru-ru/
http://microsoft.com	https://www.microsoft.com/licensing/default
http://microsoft.com	https://www.microsoft.com/ru-ru/enterprise
http://microsoft.com	https://products.office.com/ru-ru/microsoft-teams/group-chat-software?icid=mscom_marcom
http://microsoft.com	https://www.microsoft.com/accessories/ru-ru
http://microsoft.com	https://c.s-microsoft.com/favicon.ico?v2
http://microsoft.com	https://developer.microsoft.com/ru-ru/store/register
